Movie Name,Director,Cast,Meta Score
Moonlight,['Barry Jenkins'],"['Alex R. Hibbert', 'Ashton Sanders', 'Duan Sanderson', ""Herman 'Caheei McGloun"", 'Jaden Piner', 'Janelle Monáe', 'Mahershala Ali', 'Naomie Harris', 'Shariff Earp', 'Alex R. Hibbert', 'Andre Holland', 'Ashton Sanders', ""Duan 'Sandy' Sanderson"", 'Duan Sanderson', ""Duan'Sandy' Sanderson"", 'Eddie Blanchard', 'Edson Jean', ""Herman 'Caheei McGloun"", 'Jaden Piner', 'Janelle Monáe', 'Jharrel Jerome', 'Kamal Ani-Bellow', 'Keomi Givens', 'Larry Anderson', 'Mahershala Ali', 'Naomie Harris', 'Patrick Decile', 'Rudi Goblen', 'Rudi Goblin', 'Shariff Earp', 'Stephon Bron', 'Tanisha Cidel', 'Trevante Rhodes']",99
Intolerance,['D.W. Griffith'],"['Lillian Gish', 'Dore Davidson', 'Edward Dillon', 'Elmer Clifton', 'Frank Bennett', 'Josephine Crowell', 'Lucille Browne', 'Mary Alden', 'Miriam Cooper', 'Monte Blue', 'Pearl Elmore', 'Sam De Grasse', 'Spottiswoode Aitken', 'Taylor N. Duncan', 'William H. Brown']",99
Pinocchio,"['Ben Sharpsteen', 'Bill Roberts', 'Hamilton Luske', 'Jack Kinney', 'Norman Ferguson', 'T. Hee', 'Wilfred Jackson']","['Charles Judels', 'Cliff Edwards', 'Dickie Jones', 'Don Brodie', 'Frankie Darro', 'Marion Darlington', 'Mel Blanc', 'Stuart Buchanan', 'Walter Catlett', 'Clarence Nash', 'Jack Mercer', 'John McLeish', 'Mae Questel', 'Patricia Page', 'Thurl Ravenscroft']",99
Touch of Evil,['Orson Welles'],"['Akim Tamiroff', 'Charlton Heston', 'Dennis Weaver', 'Janet Leigh', 'Joanna Moore', 'Joseph Calleia', 'Mort Mills', 'Orson Welles', 'Ray Collins', 'Valentin de Vargas', 'Joi Lansing', 'Lalo Rios', 'Michael Sargent', 'Phil Harvey', 'Victor Millan']",99
The Lady Vanishes,['Alfred Hitchcock'],"['Basil Radford', 'Cecil Parker', 'Dame May Whitty', 'Emile Boreo', 'Linden Travers', 'Margaret Lockwood', 'Mary Clare', 'Michael Redgrave', 'Naunton Wayne', 'Paul Lukas', 'Catherine Lacey', 'Googie Withers', 'Philip Leaver', 'Sally Stewart', 'Selma Vaz Dias']",98
The Treasure of the Sierra Madre,['John Huston'],"['Alfonso Bedoya', 'Arturo Soto Rangel', 'Barton MacLane', 'Bruce Bennett', 'Humphrey Bogart', 'José Torvay', 'Manuel Dondé', 'Margarito Luna', 'Tim Holt', 'Walter Huston', 'Guillermo Calles', 'Jacqueline Dalya', 'Robert Blake', 'Roberto Cañedo', 'Spencer Chan']",98
Pan's Labyrinth,['Guillermo del Toro'],"['Ariadna Gil', 'Ivana Baquero', 'Sergi López', 'Álex Angulo', 'César Vea', 'Doug Jones', 'Eusebio Lázaro', 'Francisco Vidal', 'Gonzalo Uriarte', 'Ivan Massagué', 'Juanjo Cucalón', 'Lina Mira', 'Manolo Solo', 'Maribel Verdú', 'Roger Casamajor']",98
Some Like It Hot,['Billy Wilder'],"['Billy Gray', 'George E. Stone', 'George Raft', 'Jack Lemmon', 'Joan Shawlee', 'Joe E. Brown', 'Marilyn Monroe', 'Nehemiah Persoff', ""Pat O'Brien"", 'Tony Curtis', 'Barbara Drew', 'Beverly Wills', 'Dave Barry', 'Harry Wilson', 'Mike Mazurki']",98
North by Northwest,['Alfred Hitchcock'],"['Adam Williams', 'Cary Grant', 'Edward Platt', 'Eva Marie Saint', 'James Mason', 'Jessie Royce Landis', 'Josephine Hutchinson', 'Leo G. Carroll', 'Martin Landau', 'Philip Ober', 'Edward Binns', 'Les Tremayne', 'Patrick McVey', 'Philip Coolidge', 'Robert Ellenstein']",98
Hoop Dreams,['Steve James'],"['Arthur Agee', 'William Gates', 'Aretha Mitchell', ""Arthur 'Bo' Agee"", 'Bill Gleason', 'Curtis Gates', 'Earl Smith', 'Emma Gates', 'Gene Pingatore', 'Isiah Thomas', 'Luther Bedford', 'Marjorie Heard', 'Marlyn Hopewell', 'Patricia Weir', 'Sheila Agee']",98
Rashomon,['Akira Kurosawa'],"['Daisuke Katô', 'Kichijir', 'Leslie Daniels', 'Machiko Kyô', 'Masayuki Mori', 'Minoru Chiaki', 'Noriko Honma', 'Takashi Shimura', 'Toshirô Mifune']",98
All About Eve,['Joseph L. Mankiewicz'],"['Anne Baxter', 'Barbara Bates', 'Bette Davis', 'Celeste Holm', 'Gary Merrill', 'George Sanders', 'Gregory Ratoff', 'Hugh Marlowe', 'Marilyn Monroe', 'Thelma Ritter', 'Barbara White', 'Craig Hill', 'Leland Harris', 'Randy Stuart', 'Walter Hampden']",98
Jules and Jim,['François Truffaut'],"['Jeanne Moreau', 'Oskar Werner', 'Anny Nelsen', 'Bernard Largemain', 'Danielle Bassiak', 'Dominique Lacarrière', 'Elen Bober', 'Henri Serre', 'Kate Noelle', 'Marie Dubois', 'Michel Subor', 'Pierre Fabre', 'Sabine Haudepin', 'Serge Rezvani', 'Vanna Urbino']",97
The Wild Bunch,['Sam Peckinpah'],"['Ben Johnson', ""Edmond O'Brien"", 'Emilio Fernández', 'Ernest Borgnine', 'Jaime Sánchez', 'L.Q. Jones', 'Robert Ryan', 'Strother Martin', 'Warren Oates', 'William Holden', 'Albert Dekker', 'Bo Hopkins', 'Dub Taylor', 'Jorge Russek', 'Paul Harper']",97
My Left Foot,['Jim Sheridan'],"['Brenda Fricker', 'Daniel Day-Lewis', 'Alison Whelan', 'Cyril Cusack', 'Declan Croghan', 'Derry Power', 'Eanna MacLiam', 'Fiona Shaw', ""Hugh O'Conor"", 'Kirsten Sheridan', 'Marie Conmee', 'Pat Laffan', 'Phelim Drew', 'Ray McAnally', 'Ruth McCabe']",97
The Third Man,['Carol Reed'],"['Alida Valli', 'Bernard Lee', 'Erich Ponto', 'Ernst Deutsch', 'Joseph Cotten', 'Orson Welles', 'Paul Hörbiger', 'Siegfried Breuer', 'Trevor Howard', 'Wilfrid Hyde-White', 'Harold Ayer', 'Harry Belcher', 'Hedwig Bleibtreu', 'Jack Arrow', 'Nelly Arno']",97
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,['Stanley Kubrick'],"['George C. Scott', 'Peter Sellers', 'Frank Berry', 'Glenn Beck', 'Hal Galili', 'Jack Creley', 'James Earl Jones', 'Keenan Wynn', 'Peter Bull', ""Robert O'Neil"", 'Roy Stephens', 'Shane Rimmer', 'Slim Pickens', 'Sterling Hayden', 'Tracy Reed']",97
"Quo Vadis, Aida?",['Jasmila Zbanic'],"['Boris Isakovic', 'Boris Ler', 'Dino Bajrovic', 'Emir Hadzihafizbegovic', 'Izudin Bajrovic', 'Jasna Djuricic', 'Johan Heldenbergh', 'Raymond Thiry', 'Reinout Bussemaker', 'Teun Luijkx', 'Alban Ukaj', 'Edita Malovcic', 'Ermin Bravo', 'Jelena Kordic', 'Juda Goslinga']",97
Gone with the Wind,"['George Cukor', 'Sam Wood', 'Victor Fleming']","['Vivien Leigh', 'Alicia Rhett', 'Ann Rutherford', ""Barbara O'Neil"", 'Butterfly McQueen', 'Evelyn Keyes', 'Everett Brown', 'Fred Crane', 'George Reeves', 'Hattie McDaniel', 'Howard C. Hickman', 'Leslie Howard', 'Oscar Polk', 'Thomas Mitchell', 'Victor Jory']",97
"4 Months, 3 Weeks and 2 Days",['Cristian Mungiu'],"['Anamaria Marinca', 'Vlad Ivanov', 'Adi Carauleanu', 'Alexandru Potocean', 'Cerasela Iosifescu', 'Constantin Bojog', 'Costica Babu', 'Cristina Burbuz', 'Doru Ana', 'Eugenia Bosânceanu', 'Ion Sapdaru', 'Laura Vasiliu', 'Liliana Mocanu', 'Luminita Gheorghiu', 'Marioara Sterian', 'Mihaela Alexandru', 'Monica Alexandrescu', 'Tania Popa', 'Teodor Corban']",97
Psycho,['Alfred Hitchcock'],"['Anthony Perkins', 'Janet Leigh', 'Fletcher Allen', 'Frank Albertson', 'John Anderson', 'John Gavin', 'John McIntire', 'Lurene Tuttle', 'Martin Balsam', 'Mort Mills', 'Patricia Hitchcock', 'Simon Oakland', 'Vaughn Taylor', 'Vera Miles', 'Walter Bacon']",97
Battleship Potemkin,['Sergei M. Eisenstein'],"['A. Glauberman', 'Aleksandr Antonov', 'Aleksandr Levshin', 'Grigoriy Aleksandrov', 'Ivan Bobrov', 'Konstantin Feldman', 'Mikhail Gomorov', 'N. Poltavtseva', 'Prokhorenko', 'Vladimir Barskiy', 'Beatrice Vitoldi', 'Daniil Antonovich', 'Iona Biy-Brodskiy', 'Julia Eisenstein', 'Sergei M. Eisenstein']",97
A Streetcar Named Desire,['Elia Kazan'],"['Ann Dere', 'Karl Malden', 'Kim Hunter', 'Marlon Brando', 'Nick Dennis', 'Peg Hillias', 'Richard Garrick', 'Rudy Bond', 'Vivien Leigh', 'Wright King', 'Dahn Ben Amotz', 'Edna Thomas', 'Marietta Canty', 'Mel Archer', 'Mickey Kuhn']",97
American Graffiti,['George Lucas'],"['Bo Hopkins', 'Candy Clark', 'Charles Martin Smith', 'Cindy Williams', 'Mackenzie Phillips', 'Manuel Padilla Jr.', 'Paul Le Mat', 'Richard Dreyfuss', 'Ron Howard', 'Wolfman Jack', 'Beau Gentry', 'Deby Celiz', 'Harrison Ford', 'Jana Bellan', 'Jim Bohan']",97
Dumbo,"['Ben Sharpsteen', 'Bill Roberts', 'Jack Kinney', 'John Elliotte', 'Norman Ferguson', 'Samuel Armstrong', 'Wilfred Jackson']","['Billy Bletcher', 'Cliff Edwards', 'Eddie Holden', 'Edward Brophy', 'Herman Bing', 'James Baskett', 'Jim Carmichael', 'Noreen Gammill', 'Sterling Holloway', 'Verna Felton', 'Hall Johnson', 'Harold Manley', 'James MacDonald', 'John McLeish', 'Malcolm Hutton']",96
Roma,['Alfonso Cuarón'],"['Andy Cortés', 'Carlos Peralta', 'Daniela Demesa', 'Diego Cortina Autrey', 'Fernando Grediaga', 'Marco Graf', 'Marina de Tavira', 'Nancy García García', 'Verónica García', 'Yalitza Aparicio', 'Jorge Antonio Guerrero', 'José Luis López Gómez', 'José Manuel Guerrero Mendoza', 'Latin Lover', 'Zarela Lizbeth Chinolla Arellano']",96
Ran,['Akira Kurosawa'],"['Akira Terao', 'Daisuke Ryû', 'Jinpachi Nezu', 'Tatsuya Nakadai', 'Hisashi Igawa', 'Kazuo Katô', 'Kenji Kodama', 'Mansai Nomura', 'Masayuki Yui', 'Mieko Harada', 'Norio Matsui', 'Peter', 'Takashi Watanabe', 'Toshiya Ito', 'Yoshiko Miyazaki']",96
The Shop Around the Corner,['Ernst Lubitsch'],"['Edwin Maxwell', 'Felix Bressart', 'Frank Morgan', 'Inez Courtney', 'James Stewart', 'Joseph Schildkraut', 'Margaret Sullavan', 'Sara Haden', 'Sarah Edwards', 'William Tracy', 'Charles Arnt', 'Charles Halton', 'Charles Smith', 'Joan Blair', 'Mary Carr']",96
12 Angry Men,['Sidney Lumet'],"['Henry Fonda', 'Lee J. Cobb', 'E.G. Marshall', 'Ed Begley', 'Edward Binns', 'George Voskovec', 'Jack Klugman', 'Jack Warden', 'James Kelly', 'John Fiedler', 'Joseph Sweeney', 'Martin Balsam', 'Robert Webber', 'Rudy Bond', 'Tom Gorman']",96
Manchester by the Sea,['Kenneth Lonergan'],"['Casey Affleck', 'Kyle Chandler', 'Lucas Hedges', 'Michelle Williams', 'Amanda Blattner', 'Anna Baryshnikov', 'Anthony Estrella', 'Ben Hanson', ""Ben O'Brien"", 'Brian Chamberlain', 'C.J. Wilson', 'Casey Affleck', 'Chaunty Spillane', 'Danae Nason', 'Erica McDermott', 'Gretchen Mol', 'Heather Burns', 'Jeffrey Corazzini', 'Josh Hamilton', 'Kara Hayward', 'Kyle Chandler', 'Lewis D. Wheeler', 'Liam McNeill', 'Lucas Hedges', 'Mark Burzenski', 'Mary Mallen', 'Matthew Broderick', 'Michelle Williams', 'Missy Yager', 'Oscar Wahlberg', 'Quincy Tyler Bernstine', 'Richard Donelly', 'Robert Sella', 'Ruibo Qian', 'Stephanie Ann Saunders', 'Stephen Henderson', 'Susan Pourfar', 'Tate Donovan', 'Tom Kemp', 'Virginia Loring Cooke']",96
Rosemary's Baby,['Roman Polanski'],"['John Cassavetes', 'Mia Farrow', 'Charles Grodin', ""D'Urville Martin"", 'Elisha Cook Jr.', 'Emmaline Henry', 'Hanna Hertelendy', 'Hope Summers', 'Maurice Evans', 'Patsy Kelly', 'Phil Leeds', 'Ralph Bellamy', 'Ruth Gordon', 'Sidney Blackmer', 'Victoria Vetri']",96
The Maltese Falcon,['John Huston'],"['Barton MacLane', 'Elisha Cook Jr.', 'Gladys George', 'Humphrey Bogart', 'Jerome Cowan', 'Lee Patrick', 'Mary Astor', 'Peter Lorre', 'Sydney Greenstreet', 'Ward Bond', 'Charles Drake', 'Chester Gan', 'James Burke', 'John Hamilton', 'Murray Alper']",96
12 Years a Slave,['Steve McQueen'],"['Alfre Woodard', 'Benedict Cumberbatch', 'Brad Pitt', 'Chiwetel Ejiofor', 'Garret Dillahunt', 'Michael Fassbender', 'Michael K. Williams', 'Paul Dano', 'Paul Giamatti', 'Sarah Paulson', 'Adepero Oduye', 'Alfre Woodard', 'Ashley Dyke', 'Benedict Cumberbatch', 'Bill Camp', 'Brad Pitt', 'Bryan Batt', 'Cameron Zeigler', 'Chiwetel Ejiofor', 'Chris Chalk', 'Christopher Berry', 'Craig Tate', 'Dickie Gravois', 'Dwight Henry', 'Garret Dillahunt', 'Kelsey Scott', ""Lupita Nyong'o"", 'Marcus Lyle Brown', 'Michael Fassbender', 'Michael K. Williams', 'Mister Mackey Jr.', 'Paul Dano', 'Paul Giamatti', 'Quvenzhané Wallis', 'Ruth Negga', 'Sarah Paulson', 'Scoot McNairy', 'Taran Killam', 'Tom Proctor', 'Tony Bentley']",96
Killer of Sheep,['Charles Burnett'],"['Angela Burnett', 'Charles Bracy', 'Delores Farley', 'Dorothy Stengel', 'Eugene Cherry', 'Henry G. Sanders', 'Jack Drummond', 'Kaycee Moore', 'Slim', 'Tobar Mayo', 'Angela Burnett', 'Charles Bracy', 'Chris Terrill', 'Eugene Cherry', 'Henry G. Sanders', 'Homer Jai', 'Jack Drummond', 'Johnny Smoke', 'Kaycee Moore', 'Lawrence Pierott', 'Russell Miles']",96
Nashville,['Robert Altman'],"['Barbara Baxley', 'David Arkin', 'Geraldine Chaplin', 'Karen Black', 'Keith Carradine', 'Ned Beatty', 'Robert DoQui', 'Ronee Blakley', 'Shelley Duvall', 'Timothy Brown', 'Allen Garfield', 'Barbara Harris', 'Henry Gibson', 'Jeff Goldblum', 'Scott Glenn']",96
Ratatouille,['Brad Bird'],"['Brad Garrett', 'Lou Romano', 'Patton Oswalt', 'Brian Dennehy', 'Ian Holm', 'Jake Steinfeld', 'James Remar', 'Janeane Garofalo', 'John Ratzenberger', 'Julius Callahan', ""Peter O'Toole"", 'Peter Sohn', 'Teddy Newton', 'Tony Fucile', 'Will Arnett']",96
Parasite,['Joon-ho Bong'],"['Andreas Fronk', 'Hyae Jin Chang', 'Hye-jin Jang', 'Hyun Seung-min', 'JaeWook Park', 'Jeong Esuz', 'Jeong-eun Lee', 'Ji-rye Lee', 'Jung Hyeon-jun', 'Jung Ik-Han', 'Kang Echae', 'Kang-ho Song', 'Lee Joo-Hyung', 'Myeong-hoon Park', 'Pak Hyo-Shin', 'Seo Joon Park', 'Seon-gyun Lee', 'So-dam Park', 'Woo-sik Choi', 'Yeo-Jeong Cho', 'Yeo-jeong Jo', 'Hye-jin Jang', 'Hyun Seung-min', 'JaeWook Park', 'Jeong Esuz', 'Jeong-eun Lee', 'Ji-hye Lee', 'Ji-rye Lee', 'Jung Hyeon-jun', 'Jung Ik-Han', 'Jung Ziso', 'Kang Echae', 'Keun-rok Park', 'Lee Joo-Hyung', 'Myeong-hoon Park', 'Pak Hyo-Shin', 'Seo Joon Park', 'Seong-Bong Ahn']",96
Rocks,['Sarah Gavron'],"['Afi Okaidja', 'Anastasia Dymitrow', 'Bukky Bakray', ""D'angelou Osei Kissiedu"", 'Kosar Ali', 'Layo-Christina Akinlude', 'Ruby Stokes', 'Sarah Niles', 'Shaneigha-Monik Greyson', 'Tawheda Begum', 'Brie-Morgan Appleton', 'Islah Abdur-Rahman', 'Mohammad Amiri', 'Sharon D Clarke', 'Shola Adewusi']",96
Don't Look Now,['Nicolas Roeg'],"['Ann Rye', 'Clelia Matania', 'David Tree', 'Donald Sutherland', 'Giorgio Trestini', 'Hilary Mason', 'Julie Christie', 'Leopoldo Trieste', 'Massimo Serato', 'Renato Scarpa', 'Adelina Poerio', 'Bruno Cattaneo', 'Nicholas Salter', 'Sharon Williams']",96
The Grapes of Wrath,['John Ford'],"['Charley Grapewin', 'Dorris Bowdon', 'Eddie Quillan', 'Henry Fonda', 'Jane Darwell', 'John Carradine', 'John Qualen', 'O.Z. Whitehead', 'Russell Simpson', 'Zeffie Tilbury', 'Darryl Hickman', 'Frank Darien', 'Frank Sully', 'Roger Imhof', 'Shirley Mills']",96
Children of Paradise (1945),['Marcel Carné'],"['Arletty', 'Jean-Louis Barrault', 'Etienne Decroux', 'Fabien Loris', 'Gaston Modot', 'Habib Benglia', 'Jane Marken', 'Louis Florencie', 'Marcel Pérès', 'Marcelle Monthil', 'María Casares', 'Palau', 'Pierre Brasseur', 'Pierre Renoir', 'Rognoni']",96
Mean Streets,['Martin Scorsese'],"['Amy Robinson', 'Cesare Danova', 'David Proval', 'George Memmoli', 'Harvey Keitel', 'Jeannie Bell', 'Lenny Scaletta', 'Richard Romanus', 'Robert De Niro', 'Victor Argo', 'David Carradine', 'Harry Northup', 'Lois Walden', 'Murray Moston', 'Robert Carradine']",96
The Lady Eve,['Preston Sturges'],"['Barbara Stanwyck', 'Charles Coburn', 'Eric Blore', 'Eugene Pallette', 'Henry Fonda', 'Janet Beecher', ""Martha O'Driscoll"", 'Melville Cooper', 'Robert Greig', 'William Demarest', 'Abdullah Abbas', 'Dora Clement', 'Luis Alberni', 'Mary Akin', 'Norman Ainsley']",96
Gravity,['Alfonso Cuarón'],"['George Clooney', 'Sandra Bullock', 'Amy Warren', 'Basher Savage', 'Ed Harris', 'Eric Michels', 'George Clooney', 'Janis Ahern', 'Orto Ignatiussen', 'Paul Sharma', 'Sandra Bullock']",96
Fantasia,"['Ben Sharpsteen', 'Bill Roberts', 'David Hand', 'Ford Beebe Jr.', 'Hamilton Luske', 'James Algar', 'Jim Handley', 'Norman Ferguson', 'Paul Satterfield', 'Samuel Armstrong', 'T. Hee', 'Wilfred Jackson']","['Corey Burton', 'Deems Taylor', 'Hugh Douglas', 'James MacDonald', 'Julietta Novis', 'Leopold Stokowski', 'Paul J. Smith', 'Tim Matheson', 'Walt Disney']",96
Spirited Away,['Hayao Miyazaki'],"['Miyu Irino', 'Bunta Sugawara', 'Koba Hayashi', 'Mari Natsuki', 'Noriko Kitou', 'Rumi Hîragi', 'Ryûnosuke Kamiki', 'Shigeru Wakita', 'Shiro Saito', 'Takashi Naitô', 'Takehiko Ono', 'Tatsuya Gashûin', 'Tsunehiko Kamijô', 'Yasuko Sawaguchi', 'Yô Ôizumi', 'Yumi Tamai']",96
Beauty and the Beast,"['Gary Trousdale', 'Kirk Wise']","[""Paige O'Hara"", 'Robby Benson', 'Alec Murphy', 'Alvin Epstein', 'Angela Lansbury', 'Bradley Pierce', 'Brian Cummings', 'David Ogden Stiers', 'Jerry Orbach', 'Jesse Corti', 'Jo Anne Worley', 'Mary Kay Bergman', 'Rex Everhart', 'Richard White', 'Tony Jay']",95
Small Axe: Lovers Rock,['Steve McQueen'],"['Amarah-Jae St. Aubyn', 'Daniel Francis-Swaby', 'Ellis George', 'Francis Lovehall', 'Joshua Viner', 'Kadeem Ramsay', 'Kedar Williams-Stirling', 'Marcus Fraser', 'Micheal Ward', 'Shaniqua Okwok', 'Alexander James-Blake', 'Frankie Fox', 'Jermaine Freeman', 'Romario Simpson', 'Saffron Coomber']",95
Toy Story,['John Lasseter'],"['Tim Allen', 'Tom Hanks', 'Annie Potts', 'Don Rickles', 'Erik von Detten', 'Jack Angel', 'Jim Varney', 'John Morris', 'John Morris', 'John Ratzenberger', 'Laurie Metcalf', 'Penn Jillette', 'R. Lee Ermey', 'Sarah Freeman', 'Spencer Aste', 'Wallace Shawn']",95
The Bride of Frankenstein,['James Whale'],"['Boris Karloff', 'Colin Clive', 'Douglas Walton', 'E.E. Clive', 'Elsa Lanchester', 'Ernest Thesiger', 'Gavin Gordon', 'Lucien Prival', ""Una O'Connor"", 'Valerie Hobson', 'Anne Darling', 'Dwight Frye', 'Mary Gordon', 'O.P. Heggie', 'Reginald Barlow']",95
The Social Network,['David Fincher'],"['Andrew Garfield', 'Jesse Eisenberg', 'Justin Timberlake', 'Adina Porter', 'Alecia Svensen', 'Armie Hammer', 'Brenda Song', 'Bryan Barter', 'Caleb Landry Jones', 'Calvin Dean', 'Cherilyn Wilson', 'Dakota Johnson', 'Denise Grayson', 'Dustin Fitzsimons', 'James Dastoli', 'Jami Owen', 'Jayk Gallagher', 'Joseph Mazzello', 'Malese Jow', 'Marcella Lentz-Pope', 'Max Minghella', 'Patrick Mapel', 'Rashida Jones', 'Robert Dastoli', 'Rooney Mara', 'Scotty Crowe', 'Shelby Young', 'Toby Meuli', 'Trevor Wright']",95
My Fair Lady,['George Cukor'],"['Audrey Hepburn', 'Gladys Cooper', 'Isobel Elsom', 'Jeremy Brett', 'John Holland', 'Mona Washbourne', 'Rex Harrison', 'Stanley Holloway', 'Theodore Bikel', 'Wilfrid Hyde-White', 'Elizabeth Aimers', 'Helen Albrecht', 'John Alderson', 'LaWana Backer', 'Mary Alexander']",95
Portrait of a Lady on Fire,['Céline Sciamma'],"['Adele Haenel', 'Armande Boulanger', 'Cécile Morel', 'Christel Baras', 'Clément Bouyssou', 'Guy Delamarche', 'Luàna Bajrami', 'Michèle Clément', 'Noémie Merlant', 'Valeria Golino']",95
I Am Not Your Negro,['Raoul Peck'],"['Dick Cavett', 'James Baldwin', 'Samuel L. Jackson', 'Shumerria Harris']",95
Woodstock,['Michael Wadleigh'],"['Arlo Guthrie', 'Country Joe and the Fish', 'Crosby Stills & Nash', 'Joan Baez', 'Joe Cocker', 'Richie Havens', 'Sha-Na-Na', 'Ten Years After', 'The Who', 'Bob Davis', 'Canned Heat', 'Jimi Hendrix', 'John Sebastian', 'Santana', 'Sly and the Family Stone']",95
Double Indemnity,['Billy Wilder'],"['Barbara Stanwyck', 'Byron Barr', 'Edward G. Robinson', 'Fortunio Bonanova', 'Fred MacMurray', 'Jean Heather', 'John Philliber', 'Porter Hall', 'Richard Gaines', 'Tom Powers', 'Edmund Cobb', 'James Adamson', 'John Berry', 'Kernan Cripps', 'Raymond Chandler']",95
Snow White and the Seven Dwarfs,"['Ben Sharpsteen', 'David Hand', 'Larry Morey', 'Perce Pearce', 'Wilfred Jackson', 'William Cottrell']","['Adriana Caselotti', 'Billy Gilbert', 'Eddie Collins', 'Harry Stockwell', 'Lucille La Verne', 'Marion Darlington', 'Otis Harlan', 'Pinto Colvig', 'Roy Atwell', 'Stuart Buchanan', 'James MacDonald', 'Moroni Olsen', 'Purv Pullen', 'Scotty Mattraw']",95
